Nombre,Comuna,Direccion,Tipos,Lng,Lat,Ciudad,Icono,Id
UF Marston Science Library,FL 32611,"444 Newell Dr, Gainesville, FL 32611, Estados Unidos","['library', 'point_of_interest', 'establishment']",29.6479842,-82.3440022,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/civic_building-71.png,ChIJd71aR52j6IgRHko1BL93Tag
Library West,FL 32611,"1545 W University Ave #7022, Gainesville, FL 32611, Estados Unidos","['library', 'point_of_interest', 'establishment']",29.6514302,-82.3429002,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/civic_building-71.png,ChIJTxlXV4Kj6IgRSJ-tmdH0chA
Museo de Historia Natural de Florida,FL 32611,"3215 Hull Rd, Gainesville, FL 32611, Estados Unidos","['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",29.6359326,-82.3698148,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,ChIJ2za8HD-j6IgR12iGlq5JFqA
Butterfly Rainforest at the Florida Museum of Natural History,FL 32611,"3215 Hull Road SW 34th Street and, Hull Rd, Gainesville, FL 32611, Estados Unidos","['museum', 'point_of_interest', 'establishment']",29.6363068,-82.37033699999999,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,ChIJG4zJ_T6j6IgRgMdxRPpp5-M
McGuire Center for Lepidoptera & Biodiversity,FL 32611,"Florida Museum of Natural History, 3215 Hull Rd, Gainesville, FL 32611, Estados Unidos","['museum', 'point_of_interest', 'establishment']",29.6360004,-82.3704224,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,ChIJzxYY4D6j6IgR_8e2KNtoHmU
Estadio Ben Hill Griffin,FL 32611,"157 Gale Lemerand Dr, Gainesville, FL 32611, Estados Unidos","['stadium', 'point_of_interest', 'establishment']",29.64994129999999,-82.34868159999999,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/stadium-71.png,ChIJVzpbxXmj6IgRoj4rV3XQcPg
Cerro Amarillo de la Libertad,Hualpén,"1302, Finlandia 1256, Hualpén, Bío Bío","['park', 'tourist_attraction', 'point_of_interest', 'establishment']",-36.7841775,-73.1026277,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png,ChIJ3S_x2JbKaZYRwK3T1oXmuA4
Ramuntcho,Hualpén,"Cádiz 3593, Hualpén, Bío Bío","['tourist_attraction', 'point_of_interest', 'establishment']",-36.7526049,-73.1850815,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,ChIJSWkkAF8zaJYR-ov6vi__0Dc
Santuario de la Naturaleza Península de Hualpén,Hualpén,"Unnamed Road, Hualpén, Bío Bío","['park', 'tourist_attraction', 'point_of_interest', 'establishment']",-36.8061727,-73.1699076,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png,ChIJncLqW3fLaZYRb4k1HPjr3II
Playa Rocoto,Hualpén,"Hualpén, Bío Bío","['tourist_attraction', 'point_of_interest', 'establishment']",-36.7969097,-73.1780328,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,ChIJi9vow2PLaZYRawmmC0Zk1Rk
